Datum  : 23-08-2022 [22:36]                                                                                                 NPI ARTIKELEN V3                                                                                                  Blad      :     1
Neways Cable & Wire Sol. B.V.                                                                                                                                                                                                                  Bedrijf   :  450

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Artikel         |Omschrijving                  |S|Sig|Mat.    |CRL|CRL Name                      |RFQ number  |Nummer|Hoeveelheid   |Startdatum|Leverdatum|Plannr|Afd|Taak|Norm    |
----------------+------------------------------+-+---+--------+---+------------------------------+------------+------+--------------+----------+----------+------+---+----+--------+---------------------------------------------------------------------------
0118355B        |CABLE MAIN, FILTERBOX,XCWC    |S|EN4|        |3N1|NIS FEI                 141189|21.06.00605 |246074|       30,00  |18-08-2022|09-09-2022|  8020|N01|4010|        |
1000 370 00291  |S704882 CABLE SET EXT XRD 9900|S|EN4|        |3N6|NIS TF EQUBLENS         141190|            |338697|       10,00  |19-08-2022|06-09-2022|  8020|N01|4010|        |
101.218.000-C   |DRAADBOOM AARDE ISO UK        |M|EN3|        |7B1|BRAVILOR                802560|21.04.00247 |     0|      250,00  |17-05-2023|25-05-2023|  6000|Y42|6010|NO BOARD|
103-16661-02    |WH NXE SISO PNEUMATICS CBL    |S|PIL|        |5E2|VDL-ETG OVERIGEN GEREL. 140716|22.03.00200 |338692|       15,00  |29-08-2022|16-09-2022|  8060|N01|4010|        |
10511-230010.D  |SYSTEMKABEL                   |M|EP3|        |1B9|RMMV NON-CONTRACT       141238|22.06.00536 |     0|        5,00  |28-09-2022|24-10-2022|     0|101|7010|        |
10511-231010.C  |WERFERKABEL                   |M|EP3|        |1B9|RMMV NON-CONTRACT       141238|22.06.00536 |     0|        5,00  |14-09-2022|30-09-2022|     0|101|7010|        |
108-47912-01    |EXE WH LL1 BUN                |M|EP3|3,91    |5E1|VDL-ETG ASML REL.       140716|22.06.00508 |     0|        1,00  |03-11-2022|30-11-2022|  8070|N01|4010|        |
108-47922-01    |EXE WH LL2 BUN                |M|EP3|3,61    |5E1|VDL-ETG ASML REL.       140716|22.06.00508 |     0|        1,00  |09-11-2022|01-12-2022|  8070|N01|4010|        |
1091544I        |WIRING HT ELECTRONICS         |M|EN3|        |3N1|NIS FEI                 141189|20.04.00312 |     0|        5,00  |06-12-2022|04-01-2023|  8020|N01|4010|        |
111-47725-01    |4022 677 40813 NXE SR TCBA ELE|M|EP3|        |5E1|VDL-ETG ASML REL.       140716|21.09.00874 |     0|       10,00  |02-12-2022|05-01-2023|  7011|101|7010|        |
1113903C        |SET OF GND CBL EC HPFIB       |M|EN3|        |3M1|FEI CZECH REPUBLIC SRO  806300|22.01.00057 |     0|       45,00  |12-01-2023|30-01-2023|  8027|N01|4010|        |
112-46453-02    |4022 677 33723 NXE SR TC ELEC |M|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.04.00341 |     0|        5,00  |03-10-2022|26-10-2022|  7011|101|7010|        |
